Timestamp - Message
2023-12-05T05:40:58.110738 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T07:28:47.632089 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
2023-12-05T07:29:04.492777 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 80}}
2023-12-05T07:29:21.283031 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 50}}
2023-12-05T07:29:40.129662 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 60}}
2023-12-05T07:30:54.817725 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T07:31:20.805164 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T07:33:21.039563 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T07:33:56.588806 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T07:34:12.373719 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
2023-12-05T08:21:34.431489 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T08:21:56.091772 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
2023-12-05T08:22:50.177465 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T08:23:01.410373 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 90}}
2023-12-05T08:27:17.371440 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T08:28:04.580621 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T08:28:25.252183 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
2023-12-05T08:28:39.832617 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 60}}
2023-12-05T16:37:37.866864 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 20}}
2023-12-05T16:37:46.906637 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T16:38:02.364970 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
2023-12-05T16:40:40.388816 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 20}}
2023-12-05T16:40:54.229107 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 70}}
2023-12-05T16:52:30.739918 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 20}}
2023-12-05T16:52:44.306779 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 30}}
2023-12-05T16:52:53.768882 - {'model': 'Tesla V3', 'vendor_name': 'Tesla', 'custom_data': {'vendor_id': '3.4', 'color': 'blue', 'capacity': 40}}
